 < 22:17:21 >  0 0 
 < 22:19:21 >  320.335510253906 23.9961357116699 0 
 < 22:19:22 >  323.844146728516 23.993501663208 0 
 < 22:19:23 >  329.105804443359 23.9848823547363 0 
 < 22:19:24 >  330.859039306641 23.9796333312988 0 
 < 22:19:25 >  334.363708496094 23.9621067047119 0 
 < 22:19:26 >  339.611297607422 23.8977966308594 0 
 < 22:19:27 >  341.35546875 23.8554763793945 0 
 < 22:19:28 >  344.828277587891 23.7045822143555 0 
 < 22:19:29 >  348.261260986328 23.3806400299072 0 
 < 22:19:30 >  351.608306884766 22.6813411712646 0 
 < 22:19:31 >  356.235626220703 20.0018844604492 0 
 < 22:19:32 >  357.57958984375 18.3816471099854 0 
 < 22:19:33 >  359.790191650391 13.9074487686157 0 
 < 22:19:34 >  361.723937988281 6.42999124526978 0 
 < 22:19:35 >  362.056488037109 4.54851913452148 0 
 < 22:19:36 >  362.521789550781 1.16116225719452 0 
 < 22:19:37 >  362.547271728516 0.348348677158356 0 
 < 22:19:38 >  362.557189941406 0.0313513837754726 0 
 < 22:19:39 >  362.55810546875 0.0028216247446835 0 
 < 22:19:40 >  362.558197021484 0.000253946258453652 0 
 < 22:19:41 >  362.558197021484 6.8565500441764E-6 0 
 < 22:19:42 >  362.558197021484 2.05696505872766E-6 0 
 < 22:19:43 >  362.558197021484 1.8512686494887E-7 0 
 < 22:19:44 >  362.558197021484 1.66614189112124E-8 0 
 < 22:19:45 >  362.558197021484 1.49952772421358E-9 0 
 < 22:19:46 >  362.558197021484 4.04872524395472E-11 0 
 < 22:19:47 >  362.558197021484 1.21461764257536E-11 0 
 < 22:19:48 >  362.558197021484 1.09315594770676E-12 0 
 < 22:19:49 >  362.558197021484 2.95152154127822E-14 0 
 < 22:19:50 >  362.558197021484 8.85456479324124E-15 0 
 < 22:19:51 >  362.558197021484 2.39073275887293E-16 0 
 < 22:19:52 >  362.558197021484 7.17219854131658E-17 0 
 < 22:19:53 >  362.558197021484 1.93649392048411E-18 0 
 < 22:19:54 >  362.558197021484 5.80948176145233E-19 0 
 < 22:19:55 >  362.558197021484 5.2285340118221E-20 0 
 < 22:19:56 >  362.558197021484 1.4117043794858E-21 0 
 < 22:19:57 >  362.558197021484 4.23511323943161E-22 0 
 < 22:19:58 >  362.558197021484 3.81160234462878E-23 0 
 < 22:19:59 >  362.558197021484 1.02913275137891E-24 0 
 < 22:20:00 >  362.558197021484 3.08739845135195E-25 0 
 < 22:20:01 >  362.558197021484 2.7786590006472E-26 0 
 < 22:20:02 >  362.558197021484 7.50238017226779E-28 0 
 < 22:20:03 >  362.558197021484 2.25071419612508E-28 0 
 < 22:20:04 >  362.558197021484 6.07692925940077E-30 0 
 < 22:20:05 >  362.558197021484 1.82307889066769E-30 0 
 < 22:20:06 >  362.558197021484 1.64077111915036E-31 0 
 < 22:20:07 >  362.558197021484 4.43008225386609E-33 0 
 < 22:20:08 >  362.558197021484 1.32902474962822E-33 0 
 < 22:20:09 >  362.558197021484 3.58836697552478E-35 0 
 < 22:20:10 >  362.558197021484 1.07651010700673E-35 0 
 < 22:20:11 >  362.558197021484 9.68859193163806E-37 0 
 < 22:20:12 >  362.558197021484 2.61592015112767E-38 0 
 < 22:20:13 >  362.558197021484 7.84776045338302E-39 0 
 < 22:20:14 >  362.558197021484 7.06299267570566E-40 0 
 < 22:20:15 >  362.558197021484 6.35671022371667E-41 0 
 < 22:20:16 >  362.558197021484 5.72150162983823E-42 0 
 < 22:20:17 >  362.558197021484 1.5414283107573E-43 0 
 < 22:20:18 >  362.558197021484 4.6242849322719E-44 0 
 < 22:20:19 >  362.558197021484 1.40129846432482E-45 0 
 < 22:20:20 >  362.558197021484 0 0 
 < 22:20:21 >  362.558197021484 0 0 
 < 22:20:22 >  362.558197021484 0 0 
 < 22:20:23 >  362.558197021484 0 0 
 < 22:20:24 >  362.558197021484 0 0 
 < 22:20:25 >  362.558197021484 0 0 
 < 22:20:26 >  362.558197021484 0 0 
 < 22:20:27 >  362.558197021484 0 0 
 < 22:20:28 >  362.558197021484 0 0 
 < 22:20:29 >  362.558197021484 0 0 
 < 22:20:30 >  362.558197021484 0 0 
 < 22:20:31 >  362.558197021484 0 0 
 < 22:20:32 >  362.558197021484 0 0 
 < 22:20:33 >  362.558197021484 0 0 
 < 22:20:34 >  362.558197021484 0 0 
 < 22:20:35 >  362.558197021484 0 0 
 < 22:20:36 >  362.558197021484 0 0 
 < 22:20:37 >  362.558197021484 0 0 
 < 22:20:38 >  362.558197021484 0 0 
 < 22:20:39 >  362.558197021484 0 0 
 < 22:20:40 >  362.558197021484 0 0 
 < 22:20:41 >  362.558197021484 0 0 
 < 22:20:42 >  362.558197021484 0 0 
