 < 21:07:26 >  331.156524658203 0.993719577789307 42.4745483398438 
 < 21:07:27 >  330.870727539063 0.993415951728821 42.463752746582 
 < 21:07:28 >  330.442565917969 0.992478251457214 42.4425582885742 
 < 21:07:29 >  330.300018310547 0.992042183876038 42.4342002868652 
 < 21:07:30 >  330.015197753906 0.990998029708862 42.4155044555664 
 < 21:07:31 >  329.588836669922 0.989002525806427 42.3837966918945 
 < 21:07:32 >  329.446990966797 0.988229036331177 42.3720703125 
 < 21:07:33 >  329.022308349609 0.985580921173096 42.3347244262695 
 < 21:07:34 >  328.881072998047 0.984595537185669 42.321361541748 
 < 21:07:35 >  328.59912109375 0.982501864433289 42.2937278747559 
 < 21:07:36 >  328.177520751953 0.979062080383301 42.2498626708984 
 < 21:07:37 >  328.037384033203 0.977841675281525 42.2346382141113 
 < 21:07:38 >  327.757690429688 0.975301265716553 42.2039489746094 
 < 21:07:39 >  327.478820800781 0.972646474838257 42.1725692749023 
 < 21:07:40 >  327.200775146484 0.969881415367126 42.1410522460938 
 < 21:07:41 >  326.923614501953 0.965595841407776 42.0935173034668 
 < 21:07:42 >  326.647338867188 0.964138627052307 42.0777816772461 
 < 21:07:43 >  326.371917724609 0.961191415786743 42.0466041564941 
 < 21:07:44 >  325.96044921875 0.956749796867371 42.0007667541504 
 < 21:07:45 >  325.82373046875 0.955268263816833 41.9858589172363 
 < 21:07:46 >  325.550933837891 0.952317237854004 41.9567451477051 
 < 21:07:47 >  325.278961181641 0.949402213096619 41.9288787841797 
 < 21:07:48 >  324.872528076172 0.945110082626343 41.8896408081055 
 < 21:07:49 >  324.737457275391 0.943712592124939 41.8773574829102 
 < 21:07:50 >  324.467864990234 0.94097489118576 41.8538360595703 
 < 21:07:51 >  324.199005126953 0.93706601858139 41.8219680786133 
 < 21:07:52 >  323.930877685547 0.935818195343018 41.8122138977051 
 < 21:07:53 >  323.663391113281 0.933410704135895 41.7943267822266 
 < 21:07:54 >  323.396514892578 0.931131482124329 41.7711486816406 
 < 21:07:55 >  323.130218505859 0.928999185562134 41.7645416259766 
 < 21:07:56 >  322.864471435547 0.927008628845215 41.7529754638672 
 < 21:07:57 >  322.466705322266 0.924319863319397 41.7400245666504 
 < 21:07:58 >  322.334320068359 0.923506617546082 41.7367630004883 
 < 21:07:59 >  322.06982421875 0.922001719474792 41.7320137023926 
 < 21:08:00 >  321.673706054688 0.920084238052368 41.7294120788574 
 < 21:08:01 >  321.541778564453 0.919538676738739 41.7296981811523 
 < 21:08:02 >  321.278106689453 0.918570756912231 41.7320022583008 
 < 21:08:03 >  321.014587402344 0.917782545089722 41.7362403869629 
 < 21:08:04 >  320.751190185547 0.917190313339233 41.7428245544434 
 < 21:08:05 >  320.356140136719 0.916629314422607 41.7566223144531 
 < 21:08:06 >  320.224456787109 0.916533529758453 41.7620964050293 
 < 21:08:07 >  319.961059570313 0.916456580162048 41.7748069763184 
 < 21:08:08 >  319.697601318359 0.916555285453796 41.7893409729004 
 < 21:08:09 >  319.433990478516 0.916826784610748 41.8054885864258 
 < 21:08:10 >  319.170196533203 0.917243778705597 41.8232231140137 
 < 21:08:11 >  318.906158447266 0.918176472187042 41.8522453308105 
 < 21:08:12 >  318.641876220703 0.918554782867432 41.8625030517578 
 < 21:08:13 >  318.377288818359 0.91941225528717 41.8840789794922 
 < 21:08:14 >  318.112365722656 0.92092376947403 41.918212890625 
 < 21:08:15 >  317.847076416016 0.921483159065247 41.9299049377441 
 < 21:08:16 >  317.581390380859 0.922670781612396 41.954044342041 
 < 21:08:17 >  317.315307617188 0.923959732055664 41.9909973144531 
 < 21:08:18 >  317.048767089844 0.925332605838776 42.0034713745117 
 < 21:08:19 >  316.781799316406 0.926763832569122 42.0287475585938 
 < 21:08:20 >  316.514343261719 0.928261935710907 42.053882598877 
 < 21:08:21 >  316.246459960938 0.929802596569061 42.0790328979492 
 < 21:08:22 >  315.978088378906 0.931366801261902 42.1037216186523 
 < 21:08:23 >  315.709228515625 0.933762311935425 42.1404113769531 
 < 21:08:24 >  315.439910888672 0.934558510780334 42.1524085998535 
 < 21:08:25 >  315.035064697266 0.936941206455231 42.1871795654297 
 < 21:08:26 >  314.899871826172 0.937718689441681 42.1983184814453 
 < 21:08:27 >  314.629180908203 0.93926990032196 42.2201766967773 
 < 21:08:28 >  314.222351074219 0.941531360149384 42.2510452270508 
 < 21:08:29 >  314.086547851563 0.942253708839417 42.2609367370605 
 < 21:08:30 >  313.814605712891 0.94365781545639 42.2795066833496 
 < 21:08:31 >  313.406005859375 0.945646941661835 42.3052024841309 
 < 21:08:32 >  313.269653320313 0.946272432804108 42.3130264282227 
 < 21:08:33 >  312.996704101563 0.947464466094971 42.3279685974121 
 < 21:08:34 >  312.723449707031 0.94855785369873 42.341236114502 
 < 21:08:35 >  312.449951171875 0.949565768241882 42.3588562011719 
 < 21:08:36 >  312.176208496094 0.950452089309692 42.3638687133789 
 < 21:08:37 >  311.765258789063 0.951599717140198 42.3769302368164 
 < 21:08:38 >  311.628204345703 0.951920807361603 42.3805274963379 
 < 21:08:39 >  311.35400390625 0.952490210533142 42.3865966796875 
 < 21:08:40 >  311.079681396484 0.952942967414856 42.3913116455078 
 < 21:08:41 >  310.805328369141 0.953277230262756 42.3955574035645 
 < 21:08:42 >  310.530975341797 0.953486323356628 42.3963775634766 
 < 21:08:43 >  310.256622314453 0.953578054904938 42.3967971801758 
 < 21:08:44 >  309.982299804688 0.953499436378479 42.3950271606445 
 < 21:08:45 >  309.708068847656 0.953413248062134 42.3939666748047 
 < 21:08:46 >  309.433929443359 0.953165411949158 42.3906097412109 
 < 21:08:47 >  309.159973144531 0.952577710151672 42.3835678100586 
 < 21:08:48 >  308.886169433594 0.952337265014648 42.3806228637695 
 < 21:08:49 >  308.612579345703 0.951773107051849 42.3742713928223 
 < 21:08:50 >  308.339202880859 0.951107501983643 42.3670425415039 
 < 21:08:51 >  308.066070556641 0.950349688529968 42.3589859008789 
 < 21:08:52 >  307.656921386719 0.949061572551727 42.3456764221191 
 < 21:08:53 >  307.520690917969 0.948594331741333 42.3408737182617 
 < 21:08:54 >  307.112487792969 0.947099983692169 42.3258018493652 
 < 21:08:55 >  306.976593017578 0.946566820144653 42.3206062316895 
 < 21:08:56 >  306.705017089844 0.945459544658661 42.3101539611816 
 < 21:08:57 >  306.29833984375 0.943716049194336 42.2939987182617 
 < 21:08:58 >  306.162963867188 0.943107426166534 42.2886276245117 
 < 21:08:59 >  305.892486572266 0.941885709762573 42.2779273986816 
 < 21:09:00 >  305.622375488281 0.940646529197693 42.2673225402832 
 < 21:09:01 >  305.352661132813 0.939380764961243 42.2568054199219 
 < 21:09:02 >  305.083343505859 0.938118100166321 42.2466850280762 
 < 21:09:03 >  304.814392089844 0.936858534812927 42.2369728088379 
 < 21:09:04 >  304.545806884766 0.935609221458435 42.2233428955078 
 < 21:09:05 >  304.277526855469 0.934365272521973 42.2190055847168 
 < 21:09:06 >  304.009613037109 0.933151483535767 42.2110481262207 
 < 21:09:07 >  303.742034912109 0.931970953941345 42.2035140991211 
 < 21:09:08 >  303.474792480469 0.930833101272583 42.1969566345215 
 < 21:09:09 >  303.207855224609 0.92972457408905 42.1913185119629 
 < 21:09:10 >  302.941192626953 0.928677499294281 42.1865425109863 
 < 21:09:11 >  302.6748046875 0.927671790122986 42.1827430725098 
 < 21:09:12 >  302.40869140625 0.926735877990723 42.179630279541 
 < 21:09:13 >  302.142791748047 0.925870537757874 42.1770324707031 
 < 21:09:14 >  301.877105712891 0.925076246261597 42.1766395568848 
 < 21:09:15 >  301.611602783203 0.92435610294342 42.1766166687012 
 < 21:09:16 >  301.346252441406 0.923401474952698 42.1786346435547 
 < 21:09:17 >  301.081024169922 0.923121929168701 42.179859161377 
 < 21:09:18 >  300.81591796875 0.922614634037018 42.1830139160156 
 < 21:09:19 >  300.550933837891 0.922189474105835 42.187126159668 
 < 21:09:20 >  300.286010742188 0.921853601932526 42.192268371582 
 < 21:09:21 >  300.021118164063 0.921592712402344 42.1985015869141 
 < 21:09:22 >  299.756286621094 2.45175623893738 42.2056159973145 
 < 21:09:23 >  299.491455078125 6.37133264541626 42.2136917114258 
 < 21:09:24 >  299.2265625 11.4105968475342 42.222583770752 
 < 21:09:25 >  298.961639404297 17.5708408355713 42.2323303222656 
 < 21:09:26 >  298.728515625 24.8527011871338 42.2427940368652 
 < 21:09:27 >  298.606872558594 32.0362510681152 42.2539024353027 
 < 21:09:28 >  298.652984619141 38.3400535583496 42.2658538818359 
 < 21:09:29 >  299.030517578125 41.7250480651855 42.2783012390137 
